target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-1807.01,planet,ok,,27.94364,9.600,300.2299,0.5404,0.7081,nan,0.0000,0.0014,0.0000,3
TOI-2411.01,planet,ok,,24.71602,0.480,500.6481,0.7625,0.9042,nan,0.0000,0.0042,0.6777,2
TOI-2095.01,planet,ok,,27.07921,2.400,2440.7382,0.7713,0.1840,nan,178.3427,0.0019,nan,1
TOI-5111.01,planet,ok,,3.35589,0.480,1446.2426,0.2093,0.2572,0.5063,-16.8258,0.0003,0.5624,24
TOI-4462.01,planet,ok,,14.88564,2.016,18928.2888,0.6955,0.6333,nan,193.8728,0.0108,nan,1
TOI-5155.01,planet,ok,,23.07271,1.248,1700.9475,0.8847,0.5052,nan,-15.7426,0.0066,0.6053,3
TOI-2155.01,planet,ok,,3.72467,2.784,1406.4971,0.9075,0.9945,0.0715,-27.2105,0.0001,0.9033,23
TOI-3071.01,planet,ok,,18.81838,1.632,3319.6483,0.5328,0.7909,nan,0.0000,0.0124,0.0000,4
TOI-1916.01,planet,ok,,16.77155,0.480,496.3577,0.7362,0.2380,nan,0.0000,0.0033,0.7986,3
TOI-5232.01,planet,ok,,4.09641,4.272,1506.1172,0.9509,0.3292,0.0028,-6.3621,0.0005,0.8969,17
TOI-3497.01,planet,ok,,8.43629,2.400,894.1763,0.0000,0.3608,0.2201,0.0000,0.0003,0.8641,5
TOI-6448.01,planet,ok,,11.85302,0.480,926.5790,0.5322,0.7041,nan,0.0000,0.0084,0.8665,2
TOI-1915.01,planet,ok,,2.29169,0.480,1168.0514,0.3136,0.3094,0.3080,0.0000,0.0015,0.6671,20
TOI-1930.01,planet,ok,,8.62511,0.480,220.6785,0.9161,0.9539,2.0000,0.0000,0.0009,-3.3330,8
TOI-2981.01,planet,ok,,7.20307,2.400,8500.0266,0.6627,0.9412,0.0894,388.7200,0.0016,0.9405,8
TOI-5963.01,planet,ok,,4.29703,4.656,943.6198,0.2190,0.3051,0.0202,0.0000,0.0003,0.8467,12
TOI-423.01,planet,ok,,3.16707,2.784,4380.5578,0.2047,0.9233,0.2214,0.0000,0.0001,0.7359,27
TOI-491.01,planet,ok,,3.33228,2.784,435.4255,0.9688,nan,nan,0.0000,0.0020,0.0000,20
TOI-4488.01,planet,ok,,8.90834,1.632,13400.0798,0.5323,0.4471,0.1387,1245.7991,0.0008,0.7760,11
TOI-404.01,planet,ok,,2.96350,1.248,2765.7272,0.7752,0.9199,0.6393,0.0000,0.0016,0.5009,15
TOI-2545.01,planet,ok,,0.54130,9.600,4.9213,0.5138,nan,nan,nan,nan,0.0000,128
TOI-2338.01,planet,ok,,22.65377,2.400,702.6370,0.5195,0.7202,nan,0.0000,0.0046,0.9381,3
TOI-4791.01,planet,ok,,4.28116,2.784,3902.7831,0.8790,0.9532,0.0756,15.7958,0.0008,0.8185,12
TOI-1651.01,planet,ok,,7.53055,2.400,12852.1200,0.1889,0.9940,0.0003,747.2327,0.0001,0.9592,13
TOI-5789.01,planet,ok,,12.92519,1.632,83.1767,0.9672,0.5833,nan,0.0000,0.0023,0.6418,2
TOI-1357.01,not_planet,ok,,0.67531,1.248,401.5369,0.2843,0.1533,0.0738,104.5379,0.0008,0.7840,39
TOI-1652.01,not_planet,ok,,3.99905,0.864,253.2839,0.5102,0.1029,0.1274,55.9719,0.0001,0.7594,26
TOI-1503.01,not_planet,ok,,29.33913,0.864,4193.3343,0.9513,0.8430,nan,-225.6565,0.0075,nan,1
TOI-1666.01,not_planet,ok,,3.55942,0.480,295.4993,0.8198,0.6416,0.4448,0.0000,nan,0.3497,11
TOI-1369.01,not_planet,ok,,15.21017,4.656,1173.9726,0.9298,0.4120,0.2168,-3.2814,0.0006,0.7589,4
TOI-1592.01,not_planet,ok,,5.62647,2.400,567.2298,0.8880,0.6177,0.1712,-39.4279,0.0027,0.9416,4
TOI-1308.01,not_planet,ok,,1.37919,1.248,255.3137,0.5027,0.6284,0.0832,-11.8997,0.0002,0.0932,73
TOI-1617.01,not_planet,ok,,0.70062,1.248,126.4021,0.6841,0.4757,1.8644,11.2643,0.0002,-0.1574,122
TOI-1428.01,not_planet,ok,,28.38619,1.632,2531.4318,0.0000,0.6525,nan,-7.6291,0.0037,0.9170,2
TOI-1977.01,not_planet,ok,,8.53070,2.400,848.0110,0.4933,0.6696,2.2421,-5.5441,0.0024,0.6643,10
TOI-1541.01,not_planet,ok,,3.79782,1.248,2247.6882,0.4594,0.6045,0.0414,160.1432,0.0002,0.9899,5
TOI-2902.01,not_planet,ok,,2.99300,1.632,2072.7520,0.6779,0.1378,0.1972,-44.4704,0.0043,0.8284,26
TOI-1549.01,not_planet,ok,,2.58579,2.400,3052.3918,0.3358,0.8363,0.2611,0.0000,nan,0.6343,27
TOI-373.01,not_planet,ok,,0.51475,9.600,472.4480,0.7322,0.2751,0.0120,nan,nan,0.4061,75
TOI-1480.01,not_planet,ok,,16.76957,1.248,4770.6316,0.3110,0.9675,0.0455,0.0000,0.0244,0.8544,4
TOI-3176.01,not_planet,ok,,9.51905,2.400,2529.2788,0.9561,0.8130,0.0951,-27.8479,0.0063,0.7747,8
TOI-1572.01,not_planet,ok,,26.35049,4.656,40464.0283,0.2358,0.9975,nan,18.6916,0.0013,nan,1
TOI-3174.01,not_planet,ok,,0.50545,9.600,355.7958,0.8455,0.4664,nan,nan,nan,-1.9938,110
TOI-184.01,not_planet,ok,,4.81628,2.400,22275.2353,0.3682,0.9746,0.0008,-7.9603,0.0006,0.9896,16
TOI-3742.01,not_planet,ok,,17.85659,2.784,16820.4715,0.6872,0.9839,0.2230,nan,0.0030,0.8118,4
TOI-2947.01,not_planet,ok,,2.03846,0.864,5558.4652,0.2672,0.9366,0.1679,-154.4664,0.0111,0.8470,14
TOI-1561.01,not_planet,ok,,4.54775,2.784,486.9641,0.7440,0.4718,0.5134,0.0000,nan,0.2725,16
TOI-1129.01,not_planet,ok,,11.51567,0.480,58.7973,0.0000,0.2329,nan,0.0000,nan,nan,1
TOI-6764.01,not_planet,ok,,14.59946,2.400,379260.9929,0.7000,0.3769,nan,146.4616,nan,0.8242,2
TOI-4502.01,not_planet,ok,,2.56816,1.248,125.5093,0.4292,0.3714,0.2524,-8.8813,0.0006,0.4633,41
TOI-700,planet,ok,,16.05101,0.864,2247.1658,0.5936,0.3795,0.2032,-18.1726,0.0029,0.9074,4
V1828 Aql,eclipsing_binary_known,ok,,0.66227,0.480,25480.5210,0.7387,0.5301,nan,0.0000,0.0096,0.0000,46
