target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-2643.01,planet,ok,,19.05441,0.480,801.9075,0.0000,0.4081,0.4826,0.0000,0.0118,0.2931,5
TOI-1097.01,planet,ok,,23.99457,0.480,738.9938,0.0000,0.1236,nan,0.0000,0.0012,0.8866,3
TOI-4648.01,planet,ok,,14.60241,0.480,389.6782,0.0000,0.7525,nan,0.0000,0.0020,0.7056,3
TOI-7907.01,planet,ok,,29.35979,0.864,1732.8970,0.7429,0.3780,0.1828,110.0761,0.0016,0.9480,4
TOI-5562.01,planet,ok,,24.32751,0.480,1008.4254,0.0974,0.9450,nan,0.0000,0.0040,0.8802,2
TOI-1821.01,planet,ok,,26.72812,2.400,137.8841,0.9505,0.1749,nan,0.0000,0.0044,nan,1
TOI-1778.01,planet,ok,,6.52745,2.016,222.5072,0.8708,0.6341,0.1150,6.7947,0.0008,0.8920,7
TOI-5788.01,planet,ok,,12.40739,0.480,408.7473,0.0000,0.2503,0.3718,190.7795,0.0012,0.6270,5
TOI-4638.01,planet,ok,,14.72632,0.480,785.4344,0.7495,0.2656,0.4527,-245.0156,0.0015,0.5047,6
TOI-1772.01,planet,ok,,17.43469,5.040,1553.5167,0.8924,0.5817,nan,-15.7674,0.0043,nan,1
TOI-6038.01,planet,ok,,20.03390,0.480,232.3432,0.9194,0.7047,nan,0.0000,0.0048,0.6161,3
TOI-757.01,planet,ok,,26.20297,2.784,353.3127,0.8421,0.6175,nan,-9.1194,0.0002,0.8696,4
TOI-1723.01,planet,ok,,22.27613,0.480,180.3788,0.7626,0.2642,2.0000,0.0000,0.0005,0.0000,5
TOI-2194.01,planet,ok,,28.70777,0.480,856.6307,0.9313,nan,nan,0.0000,0.0111,nan,1
TOI-5789.01,planet,ok,,12.92519,1.632,83.1730,0.9673,0.5832,nan,0.0000,0.0023,0.6419,2
TOI-5980.01,planet,ok,,19.19897,0.480,226.5500,0.2043,0.5297,0.5677,0.0000,0.0005,0.9057,4
TOI-1054.01,planet,ok,,17.49665,0.480,115.4500,0.7044,0.7093,0.5907,0.0000,0.0009,0.0000,6
TOI-198.01,planet,ok,,24.37674,0.480,376.1221,0.7357,0.3436,nan,0.0000,0.0035,0.8342,3
TOI-1233.01,planet,ok,,25.97875,0.480,297.1792,0.8913,0.8318,nan,0.0000,0.0012,nan,1
TOI-1237.01,planet,ok,,13.41934,0.480,414.7329,0.3482,0.4338,1.0258,0.0000,0.0020,0.3701,6
TOI-4589.01,planet,ok,,26.19117,0.480,554.0952,0.9513,0.1696,nan,105.6274,0.0008,0.9051,3
TOI-1221.01,planet,ok,,0.52655,9.600,3382.9610,0.8851,nan,nan,nan,nan,-2.4534,169
TOI-1407.01,planet,ok,,19.84508,0.480,168.0800,0.0000,0.2497,nan,0.0000,0.0020,0.9629,2
TOI-1441.01,planet,ok,,13.65242,0.480,473.5894,0.7772,0.4415,0.1374,-80.4166,0.0018,0.7925,6
TOI-7490.01,planet,ok,,13.41639,0.480,451.6188,0.0250,0.8624,nan,0.0000,0.0059,0.5004,3
TOI-4304.01,planet,ok,,26.58356,0.480,430.4227,0.7401,0.2002,nan,6.0796,0.0056,0.9979,3
TOI-2545.01,planet,ok,,0.54130,9.600,4.6505,0.5844,nan,nan,nan,nan,0.0000,127
TOI-5734.01,planet,ok,,20.01620,2.016,1086.9406,0.4810,0.5882,nan,-39.1546,0.0047,0.9613,2
TOI-6088.01,planet,ok,,20.00440,0.864,1226.0875,0.9780,0.6655,0.4726,-92.3558,0.0016,0.7964,5
TOI-7458.01,planet,ok,,14.09496,0.864,880.1376,0.9199,0.8018,0.4386,-27.8089,0.0082,0.8342,4
TOI-1794.01,planet,ok,,8.76673,3.120,214.8383,0.7384,0.6497,0.2133,-12.0699,0.0003,0.8217,9
TOI-5493.03,planet,ok,,24.43869,5.040,511.3995,0.9692,0.3409,0.0397,39.2927,0.0027,0.7624,5
TOI-5531.01,planet,ok,,11.16237,0.480,168.3419,0.0000,0.5067,nan,0.0000,0.0007,0.0000,8
TOI-6005.01,planet,ok,,29.01460,4.656,1112.2204,0.0000,0.9312,nan,0.0000,0.0133,0.0000,2
TOI-6967.01,planet,ok,,26.27673,0.864,14586.5124,0.6712,nan,nan,nan,0.0396,0.7157,2
TOI-741.01,planet,ok,,28.53665,0.480,251.6359,0.7710,0.4182,nan,0.0000,0.0008,0.5956,2
TOI-1247.01,planet,ok,,15.92414,3.888,160.7798,0.9534,0.8723,0.0674,-0.0004,0.0002,0.8983,6
TOI-5800.01,planet,ok,,27.92004,0.480,345.7993,0.9912,0.4842,nan,0.0000,0.0070,0.6635,2
TOI-251.01,planet,ok,,0.94254,9.600,288.2219,0.2863,nan,nan,nan,0.0001,0.0000,78
TOI-5111.01,planet,ok,,3.35589,0.480,1446.2312,0.2093,0.2572,0.5063,-16.8258,0.0003,0.5624,24
TOI-1611.01,planet,ok,,16.20147,2.400,529.5281,0.8046,0.9986,0.1009,10.2226,0.0003,0.9412,6
TOI-1798.01,planet,ok,,13.70847,0.480,813.2688,0.0000,0.7394,nan,0.0000,0.0028,0.0000,6
TOI-174.01,planet,ok,,17.66482,2.016,368.8942,0.8844,0.1598,0.2745,-0.0899,0.0008,0.7325,6
TOI-4399.01,planet,ok,,28.92904,0.480,536.9512,0.7350,0.1766,nan,0.0000,0.0013,0.2669,3
TOI-5082.01,planet,ok,,19.34648,9.600,278.7271,0.1313,0.4655,2.0000,0.0000,0.0008,0.0000,5
TOI-5997.01,planet,ok,,0.54720,9.600,131.6890,0.3792,nan,nan,nan,nan,0.2880,150
TOI-6276.01,planet,ok,,1.28213,9.600,8.3847,0.6408,nan,nan,nan,0.0040,0.4511,42
TOI-5730.01,planet,ok,,15.44619,1.248,1025.6262,0.8493,0.6404,0.0042,nan,0.0018,0.9561,4
TOI-7389.01,planet,ok,,0.50000,9.600,29.3242,0.6408,0.9253,nan,nan,nan,0.3910,190
TOI-1739.01,planet,ok,,8.30353,1.632,338.1309,0.9222,0.3035,0.0834,-9.7513,0.0001,0.7802,13
TOI-2211.01,planet,ok,,29.30668,0.480,337.8335,0.7294,0.8326,nan,0.0000,0.0009,0.9151,2
TOI-5177.01,planet,ok,,10.94994,0.480,168.5335,0.6691,0.2268,nan,0.0000,0.0015,0.0000,6
TOI-2245.01,planet,ok,,3.79843,1.632,298.8625,0.8101,0.9360,0.1350,0.1181,0.0001,0.6262,26
TOI-2322.01,planet,ok,,27.29458,2.400,1014.2847,0.7853,0.9266,nan,120.2729,0.0011,0.7705,2
TOI-1228.01,planet,ok,,27.20607,1.632,6131.0843,0.6334,nan,nan,1.4306,nan,nan,1
TOI-544.01,planet,ok,,17.64416,0.480,428.6585,0.0000,0.8982,nan,0.0000,0.0032,0.0000,4
TOI-5071.01,planet,ok,,25.28248,4.656,18931.8141,0.3751,0.4661,nan,0.0000,0.0005,nan,1
TOI-4533.01,planet,ok,,6.49795,0.480,725.2705,0.0000,0.0212,nan,0.0000,0.0038,0.0000,11
TOI-1683.01,planet,ok,,26.29148,1.632,709.5745,0.6054,0.8519,nan,nan,0.0168,nan,1
TOI-6003.01,planet,ok,,24.65997,0.480,743.2778,0.0722,0.4805,nan,0.0000,0.0009,0.9092,3
TOI-1290.01,planet,ok,,28.60451,0.480,576.3149,0.6366,0.6576,nan,0.0000,0.0005,0.9516,2
TOI-7511.01,planet,ok,,13.47245,0.480,352.9271,0.8918,0.8936,0.0567,0.0000,0.0032,0.8851,4
TOI-2427.01,planet,ok,,26.19117,5.808,644.3510,0.3314,0.3035,nan,0.0000,0.0007,-0.0999,2
TOI-283.01,planet,ok,,17.61466,3.120,228.5891,0.9649,0.3565,0.1521,-3.8135,0.0024,0.8728,6
TOI-1346.01,planet,ok,,1.76273,0.480,483.1826,0.6543,0.5526,0.4305,-13.1781,0.0001,0.2950,49
TOI-332.01,planet,ok,,18.75053,0.480,751.8084,0.8971,0.8337,0.3399,0.0000,0.0010,0.7475,4
TOI-873.01,planet,ok,,25.19102,0.480,2297.9559,0.9717,0.5241,0.4616,491.8000,0.0004,0.8228,4
TOI-731.01,planet,ok,,13.93564,0.480,289.5083,0.2496,0.3401,nan,0.0000,0.0605,nan,1
TOI-144.01,planet,ok,,27.21492,2.400,3493.6019,0.7099,nan,nan,1.9076,0.0561,-0.2934,2
TOI-500.01,planet,ok,,1.09596,0.864,128.0436,0.9462,0.4564,0.1084,9.5059,0.0000,0.0038,79
TOI-908.01,planet,ok,,15.41669,0.480,749.9262,0.4674,0.6809,0.5106,0.0000,0.0006,0.0000,4
TOI-1435.01,planet,ok,,22.23482,0.480,747.3493,0.5607,0.1276,0.4005,16.8109,0.0007,0.7328,4
TOI-1438.01,planet,ok,,5.14081,0.864,562.1646,0.9265,0.6472,0.0617,25.9637,0.0002,0.8903,18
TOI-4524.01,planet,ok,,13.32493,0.480,1286.1369,0.6276,nan,nan,0.0000,0.0111,nan,1
TOI-1411.01,planet,ok,,4.35604,1.248,209.9631,0.9626,0.2082,0.0211,6.8495,0.0002,0.6487,22
TOI-1269.01,planet,ok,,4.25278,2.016,508.4256,0.3184,0.5869,0.1524,-14.5377,0.0002,0.7900,18
TOI-712.01,planet,ok,,9.53085,1.632,612.6878,0.7724,0.3829,0.2685,-8.6753,0.0034,0.8051,7
TOI-5556.01,planet,ok,,0.72036,1.632,85.0972,0.7714,0.1334,0.0600,10.0130,0.0000,0.2892,65
TOI-1693.01,planet,ok,,5.30013,0.864,654.9896,0.7608,0.8663,0.3028,33.6193,0.0003,0.5470,18
TOI-1773.01,planet,ok,,0.73602,0.480,38.4042,0.0000,0.3482,0.5510,0.0000,0.0000,0.0000,95
TOI-5678.01,planet,ok,,26.40359,0.864,860.6398,0.0000,0.5054,nan,0.0000,0.0067,0.0000,3
TOI-4584.01,planet,ok,,15.78843,2.016,727.7246,0.5095,0.0609,1.5719,29.3514,0.0006,0.3680,7
TOI-1898.01,planet,ok,,22.75998,3.888,1722.1657,0.4578,0.6723,1.9780,-5.4838,0.0006,0.8648,5
