target,tic_id,label,tfopwg_disp,period_d,t0_bjd,duration_hr,depth_ppm,tmag
TOI-1807.01,TIC 180695581,planet,CP,0.54937,2459664.070547,0.883,370.0,9.0363
TOI-2411.01,TIC 10837041,planet,CP,0.7827075,2460987.464436,1.0403706,526.867675,10.4238
TOI-2095.01,TIC 235678745,planet,CP,17.664866,2458692.799727,2.7644951,736.3925122,11.0788
TOI-5111.01,TIC 203289099,planet,KP,3.3557219,2460280.32405,1.599,1101.0,11.7538
TOI-4462.01,TIC 76420654,planet,CP,4.9133022,2459789.419251,5.159,2040.0,10.445
TOI-5155.01,TIC 388811663,planet,KP,9.7956535,2459456.729746,2.7073092,1633.7953711,11.7603
TOI-2155.01,TIC 461591646,planet,CP,3.7246883,2459913.983994,3.078,3320.0,10.9939
TOI-3071.01,TIC 452006073,planet,CP,1.2669382,2459331.967282,1.93,2580.0,11.8706
TOI-1916.01,TIC 98545929,planet,KP,1.888231,2459251.405758,3.6693894,4358.3260875,12.4539
TOI-5232.01,TIC 69356857,planet,CP,4.0966887,2459440.069991,4.557,5620.0,11.7791
TOI-3497.01,TIC 21113347,planet,KP,4.218076,2459310.816804,3.5060865,7882.0701205,11.4007
TOI-6448.01,TIC 320411045,planet,CP,14.8442674,2459971.671935,2.748,7245.0,12.3239
TOI-1915.01,TIC 98283926,planet,KP,2.2920348,2459253.248463,3.1812507,10585.2906021,13.1472
TOI-1930.01,TIC 160578764,planet,KP,2.8786641,2459355.488108,2.207,8710.0,12.1014
TOI-2981.01,TIC 287145649,planet,CP,3.6015056,2459302.719029,3.024,13630.0,12.7533
TOI-5963.01,TIC 436478932,planet,KP,4.3226229,2459826.311145,3.3699025,11939.7472843,10.9644
TOI-423.01,TIC 43647325,planet,KP,3.1615697,2459176.768453,3.1425792,17482.2328085,10.4408
TOI-491.01,TIC 468987719,planet,KP,3.3326812,2460279.866473,3.125,17008.0,12.7656
TOI-4488.01,TIC 269269546,planet,KP,4.45417,2459798.529256,2.27143,21409.0524466,14.3945
TOI-404.01,TIC 166833457,planet,KP,2.9626402,2459168.63923,1.9096724,27118.3262165,12.3943
TOI-2545.01,TIC 149845414,planet,CP,7.9940367,2458522.513973,4.271047,404.6194381,8.90594
TOI-2338.01,TIC 24358417,planet,CP,22.6539607,2459183.68068,3.468,11530.0,11.7024
TOI-4791.01,TIC 100389539,planet,CP,4.2809767,2459246.158055,3.145,7520.0,10.8961
TOI-1651.01,TIC 138168780,planet,KP,3.7649949,2460474.181987,2.642,14735.0,9.88278
TOI-5789.01,TIC 87216634,planet,CP,12.9256051,2459776.255982,1.691,790.0,6.5715
TOI-1357.01,TIC 357972447,not_planet,FP,0.33759,2460393.796914,1.351,529.0,10.2193
TOI-1652.01,TIC 154867950,not_planet,FP,0.6664948,2458870.507719,1.38,260.0,8.68013
TOI-1503.01,TIC 428065977,not_planet,FP,1.6534102,2459881.652761,3.102,600.0,10.2347
TOI-1666.01,TIC 368536386,not_planet,FP,1.69433,2458818.74012,2.169,650.0,10.3693
TOI-1369.01,TIC 155005217,not_planet,FP,7.6047417,2459867.206961,5.23,1200.0,10.4216
TOI-1592.01,TIC 186599508,not_planet,FP,5.6318074,2458794.89641,3.4553092,1186.1481873,9.76636
TOI-1308.01,TIC 277014266,not_planet,FP,1.3797091,2459446.290468,2.352,1320.0,10.6168
TOI-1617.01,TIC 322202434,not_planet,FP,1.4013505,2460420.948154,1.562,1532.0,10.2505
TOI-1428.01,TIC 377304435,not_planet,FP,11.35626,2458691.56061,6.047,2190.0,10.8475
TOI-1977.01,TIC 383531859,not_planet,FP,17.0614756,2459352.185799,3.384,2730.0,9.5918
TOI-1541.01,TIC 319068154,not_planet,FP,3.7983639,2460423.401581,1.594,3194.0,9.7436
TOI-2902.01,TIC 290302097,not_planet,FP,2.9918201,2460042.800347,2.231,3410.0,12.7858
TOI-1549.01,TIC 191146556,not_planet,FP,2.5798051,2459881.330991,3.413,5740.0,10.3959
TOI-373.01,TIC 9032368,not_planet,FP,1.632,2458355.67942,1.466,5500.0,13.2889
TOI-1480.01,TIC 335483600,not_planet,FP,3.354053,2459855.711367,1.8984151,6389.1712796,8.7514
TOI-3176.01,TIC 389999924,not_planet,FP,4.7606207,2460015.719284,5.9420443,7813.8313853,12.6453
TOI-1572.01,TIC 292321872,not_planet,FP,8.66698,2458794.15217,6.104,9854.3,10.4562
TOI-3174.01,TIC 392112968,not_planet,FP,1.1960086,2460041.592817,2.35,11770.0,13.2785
TOI-184.01,TIC 300871545,not_planet,FP,4.8170684,2460186.764732,3.1822663,23137.3629965,10.0433
TOI-3742.01,TIC 286696848,not_planet,FP,8.9279009,2458835.622721,3.278,49560.0,12.8814
TOI-2947.01,TIC 374847873,not_planet,FP,2.0391741,2459332.080551,0.849,5740.0,12.5964
TOI-1561.01,TIC 245462406,not_planet,FP,2.27456,2458791.81704,3.32,1020.0,10.2948
TOI-1129.01,TIC 91576611,not_planet,FP,4.43651,2458659.06927,3.365,1520.0,8.7823
TOI-6764.01,TIC 148523092,not_planet,FP,2.8562935,2460121.604648,3.785,22525.0,12.9573
TOI-4502.01,TIC 239372503,not_planet,FP,0.8560277,2460366.918358,1.587,247.0,8.716291
