target,tic_id,label,period_d,t0_bjd,duration_hr,depth_ppm,tmag,n_epochs_proxy
TOI-1055.01,TIC 320004517,planet,17.4713078,2458661.062711,4.4284819,1199.7541483,8.0888,7.841427875250414
TOI-4411.01,TIC 366484980,planet,13.7748361,2460236.627901,4.454,309.0,9.15722,13.923940626778128
TOI-669.01,TIC 124573851,planet,3.9451359,2460013.733784,2.424,841.0,10.1755,27.781045514807232
TOI-1290.01,TIC 417676622,planet,5.3987355,2460551.373546,3.127,352.0,9.50898,55.82788784521857
TOI-1693.01,TIC 353475866,planet,1.766692,2458817.684965,1.4196682,830.5082973,10.6714,93.05526939613696
TOI-2459.01,TIC 192790476,planet,19.1047019,2458452.334564,3.2516728,1906.0596245,9.3951,8.60521147414501
TOI-5097.01,TIC 203214081,planet,5.7459945,2460261.803357,1.185,3650.0,11.5219,19.07415678869863
TOI-1472.01,TIC 306955329,planet,6.3634106,2459885.568784,2.692302,2368.6952027,10.5508,21.529335227872927
TOI-1931.01,TIC 162922904,planet,3.8186276,2459331.431765,4.282,3240.0,12.0233,35.87676368337148
TOI-2267.01,TIC 459837008,planet,3.4950422,2458816.152459,1.0311342,2004.426903,12.2591,94.07611730696698
TOI-2147.01,TIC 341630071,planet,26.2049782,2459599.176807,5.8635323,5593.1821784,10.7047,6.273617125161355
TOI-3666.01,TIC 346626688,planet,4.4085194,2459886.331856,3.3016793,8977.0354304,11.4453,12.430477225528367
TOI-1914.01,TIC 53750200,planet,4.1933422,2459232.244495,1.8220996,4804.157266,12.2309,19.6025022713386
TOI-4486.01,TIC 99224131,planet,2.6915408,2460558.071975,3.986,7265.0,9.93225,40.72017039459331
TOI-2193.01,TIC 401604346,planet,2.1223673,2459037.564542,1.5855365,8056.3340252,11.3996,77.4606732774294
TOI-5673.01,TIC 175772482,planet,2.8386215,2459695.204858,2.332647,15270.0987848,12.2688,9.65257256030788
TOI-6838.01,TIC 278892590,planet,1.5109447,2460209.808352,0.6401499,10693.4881603,13.8529,18.134349986468727
TOI-624.01,TIC 399870368,planet,2.7443216,2459197.007544,3.42,10071.0,9.3371,19.968505148959217
TOI-6720.01,TIC 281541545,planet,4.1470359,2460158.117981,2.3197694,12886.987991,13.7813,46.249901043779246
TOI-1612.01,TIC 268403451,planet,2.8641388,2460334.805905,2.417,9597.0,10.0521,114.79890569549212
