kepid,status,error_message,n_points,n_quarters,span_days
5702770,ok,,18387,5,406.65042234501016
10024701,ok,,14404,5,321.6640873077049
11853255,ok,,15314,5,406.64992991530016
8241079,ok,,14395,5,321.66387744420354
8950853,ok,,14394,5,321.66392888126575
7499398,ok,,20181,5,449.94857315133413
4914566,ok,,14395,5,321.6635271273917
9097470,ok,,21049,5,459.5315605616779
10337258,ok,,14320,5,321.6641113894657
3942670,ok,,18398,5,406.6503870821107
10600955,ok,,18411,5,406.65021546427306
3448130,ok,,18419,5,406.6505600316232
4370527,ok,,18418,5,406.65054517819226
3120355,ok,,18414,5,406.65055931648385
9271752,ok,,18407,5,406.6501512559844
6696580,ok,,20178,5,449.9474449461195
10676014,ok,,18422,5,406.6503104988151
7755636,error,"LightkurveError: Not recognized as a supported data product:
C:\Users\Brij Nandan Dogra\.cache\lightkurve\mastDownload\Kepler\kplr007755636_lc_Q111111111111111111\kplr007755636-2009350155506_llc.fits
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,
10798331,ok,,18401,5,406.6502074827222
9588862,ok,,18403,5,406.65027505087346
1721157,ok,,18421,5,406.65056651095074
12453581,ok,,18404,5,406.64995469465066
9047416,ok,,3534,1,85.84090409730561
10028792,ok,,18407,5,406.6504021399669
10203349,ok,,20166,5,449.94757610404486
9452897,ok,,21068,5,459.5307830935926
12366084,ok,,18410,5,406.6501821755446
7767162,ok,,20804,5,549.7831559228725
9210820,ok,,18408,5,406.65018255051837
3547178,ok,,18404,5,406.6505410955069
11615521,ok,,14396,5,321.6642739794697
9838582,ok,,20841,5,651.092888111838
2556650,ok,,18415,5,406.6503758425606
10468885,ok,,18417,5,406.65019527634286
2696205,ok,,18421,5,406.6503853040995
6368905,ok,,20183,5,449.9474500236902
10319834,ok,,18398,5,406.6499165172936
6035124,ok,,18419,5,406.65036355829943
8456679,ok,,18411,5,406.6505486201859
10678912,ok,,18407,5,406.650332204219
6934291,ok,,18416,5,406.6502408439774
9766437,ok,,18404,5,406.6502004242284
5551672,ok,,19746,5,642.5506570285434
12102775,ok,,15314,5,406.6499493362862
5374403,ok,,18412,5,406.6505669062972
5940165,ok,,18208,5,497.7832279454742
5380812,ok,,14404,5,321.66362793031294
7216284,ok,,18399,5,406.65051819835935
10515564,ok,,18397,5,406.64991167604603
6932987,ok,,18409,5,406.65022519950435
3745559,ok,,18422,5,406.65049872766394
6946199,ok,,20179,5,449.94764632239094
11670125,ok,,21067,5,459.53181882883655
7517261,ok,,21060,5,459.5308708854136
8480582,ok,,18403,5,406.65010902981885
1995519,ok,,18408,5,406.65037444720656
9651234,ok,,18416,5,406.65028346420877
3644071,ok,,18408,5,406.6505030344488
6947668,ok,,20176,5,449.94760271146515
9141355,ok,,18405,5,406.65008915423095
8841297,ok,,18411,5,406.65050798361335
3103227,ok,,18408,5,406.6504048205461
6507334,ok,,18421,5,406.65024228531547
7051984,ok,,14404,5,321.66377314102283
11918099,ok,,18394,5,406.6501678865534
7504328,ok,,18409,5,406.6500813325183
9959492,ok,,18402,5,406.6503362240401
10227020,ok,,18572,5,497.78502865941846
12067960,ok,,18399,5,406.6501777441954
12251650,ok,,18420,5,406.6499673321159
8247771,ok,,18408,5,406.65047828158276
9823457,ok,,18409,5,406.65014335138403
9475697,ok,,14405,5,321.6639926743592
9112931,ok,,20194,5,449.9468434713999
6124512,ok,,18402,5,406.6504462070079
7747457,ok,,4438,1,93.40200542318053
8013419,ok,,18407,5,406.650137812343
11410904,ok,,18422,5,406.65025280768896
11824786,ok,,18415,5,406.65025158136996
5213230,ok,,18407,5,406.65066199829016
8547537,ok,,18415,5,406.650149312547
11181260,ok,,11295,5,252.6797667278879
6521045,ok,,14401,5,321.6636852858719
8081899,ok,,18396,5,406.650126466855
12470954,ok,,18410,5,406.6501868422856
9785921,ok,,20582,5,553.528411359468
9077124,ok,,21057,5,459.53079678380163
5436502,ok,,18413,5,406.6503344971934
10019065,ok,,18410,5,406.6503192914897
7906892,ok,,14384,5,321.6638602526291
9818381,ok,,18420,5,406.65004899420455
8397947,ok,,20188,5,449.946640337781
10857519,ok,,14403,5,321.6641723618159
6599919,ok,,18422,5,406.6503549008412
6880517,ok,,20194,5,449.94715203574015
12416661,ok,,14389,5,321.66440160267666
11764462,ok,,14403,5,321.66430843427224
4932442,ok,,18405,5,406.65055703625694
7288444,ok,,18395,5,406.65044564972777
7954278,ok,,20180,5,449.9477131061358
11718144,ok,,18395,5,406.65019978953205
7134626,ok,,18421,5,406.6505285348758
10924562,ok,,20180,5,449.94722184546845
3356193,ok,,20517,5,553.5299065651488
9269281,ok,,20185,5,449.94797671105334
3934657,ok,,18411,5,406.6502736068578
8078502,ok,,21057,5,459.5304324320168
11290515,ok,,11297,5,252.67989853133622
11499192,ok,,15301,5,406.65001840910554
8480285,ok,,18402,5,406.650102142572
10713616,ok,,14387,5,321.66413961875514
10028352,ok,,14404,5,321.66409210229904
11559493,ok,,20177,5,449.94733689285204
11651240,ok,,11299,5,252.67981662023521
5095082,ok,,18404,5,406.6504326332142
7747091,ok,,18420,5,406.6502988117063
10190777,ok,,14405,5,321.6640721168442
10875007,ok,,18398,5,406.65032621284627
8868481,ok,,14390,5,321.6639088807351
11074178,ok,,15321,5,406.65001520593796
9221517,ok,,18421,5,406.650323062182
9959093,ok,,18414,5,406.6503307628809
6690082,ok,,18403,5,406.65039630744286
