target,mode,status,error_message,ephem_source,ephem_period_d,ephem_t0_btjd,ephem_duration_hr,n_fit_points,lsq_ok,lsq_depth_ppm,lsq_duration_hr,lsq_impact_b,lsq_rp_over_rs,lsq_q1,lsq_q2,boundary_pinned_ld,boundary_pinned_ld_note,lsq_boot_n,lsq_boot_n_ok_iid,lsq_boot_n_ok_block,lsq_boot_block_len,lsq_boot_depth_ppm_block_med,lsq_boot_depth_ppm_block_lo,lsq_boot_depth_ppm_block_hi,lsq_boot_duration_hr_block_med,lsq_boot_duration_hr_block_lo,lsq_boot_duration_hr_block_hi,lsq_boot_rp_over_rs_block_med,lsq_boot_rp_over_rs_block_lo,lsq_boot_rp_over_rs_block_hi,lsq_boot_impact_b_block_med,lsq_boot_impact_b_block_lo,lsq_boot_impact_b_block_hi,lsq_boot_depth_ppm_iid_med,lsq_boot_depth_ppm_iid_lo,lsq_boot_depth_ppm_iid_hi,lsq_boot_duration_hr_iid_med,lsq_boot_duration_hr_iid_lo,lsq_boot_duration_hr_iid_hi,lsq_boot_rp_over_rs_iid_med,lsq_boot_rp_over_rs_iid_lo,lsq_boot_rp_over_rs_iid_hi,lsq_boot_impact_b_iid_med,lsq_boot_impact_b_iid_lo,lsq_boot_impact_b_iid_hi,posterior_diagnostic_note,mcmc_converged,mcmc_acceptance,mcmc_tau_max,mcmc_n_samples,period_med,period_lo,period_hi,t0_med,t0_lo,t0_hi,rp_over_rs_med,rp_over_rs_lo,rp_over_rs_hi,a_over_rs_med,a_over_rs_lo,a_over_rs_hi,inc_deg_med,inc_deg_lo,inc_deg_hi,impact_b_med,impact_b_lo,impact_b_hi,depth_ppm_med,depth_ppm_lo,depth_ppm_hi,duration_hr_med,duration_hr_lo,duration_hr_hi,u1_med,u1_lo,u1_hi,u2_med,u2_lo,u2_hi,snr_matched_filter,fap_iid,fap_block,fap_iid_gpd,fap_block_gpd,fap_iid_gpd_log10,fap_block_gpd_log10,gpd_iid_validation_maxdiff,gpd_block_validation_maxdiff,null_iid_p99,null_block_p99,block_len_cadences,n_boot,n_epochs,conformal_depth_ppm,conformal_half_width_ppm,conformal_lo_ppm,conformal_hi_ppm,conformal_note
TOI-700,core,ok,,bls_ephemeris.json,16.051005100510054,1340.0854950150028,0.8640000000000001,619,True,2371.70,1.0928,0.0027,0.04427,,,,,300,300,300,26,2056.34841,214.77864,275.14708,1.08497,0.03050,0.02436,0.04167,0.00224,0.00230,0.02549,0.02457,0.22672,2078.72470,201.25544,262.15627,1.07997,0.02965,0.02642,0.04177,0.00216,0.00218,0.02612,0.02501,0.19978,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.2746,258.98,1184,16.050373,0.000497,0.000571,1340.090985,0.002428,0.002331,0.045836,0.003676,0.005947,92.793938,32.315959,19.093268,89.664077,0.476389,0.240285,0.547437,0.365919,0.311367,2376.345582,199.834226,211.930833,1.168611,0.079583,0.121034,0.584573,0.381074,0.532200,0.039456,0.407196,0.415146,16.7907,0.000500,0.000500,1.39946e-17,9.62173e-17,-16.854,-16.017,0.00259,0.00425,1.9882,2.0713,26,2000,4,2760.21,542.86,2217.35,3303.06,n=4 too small for exact 90% level; using max score (conservative)
TOI-1338,core,ok,,bls_ephemeris.json,14.60831083108311,1424.4718475503978,4.272,4000,True,61658.36,5.6909,0.0015,0.22329,,,,,300,300,300,128,61656.92680,195.21979,194.28756,5.69146,0.02051,0.01600,0.22337,0.00055,0.00126,0.00150,0.00001,0.13316,61632.63731,127.20425,97.28100,5.69086,0.02173,0.01614,0.22329,0.00044,0.00192,0.00150,0.00000,0.13817,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.3350,282.40,1088,14.608678,0.000056,0.000051,1424.471919,0.000187,0.000210,0.233319,0.001396,0.001245,24.822941,0.146226,0.122750,89.684459,0.118715,0.171702,0.137502,0.074658,0.050802,61846.961162,160.784403,155.469970,5.511552,0.015401,0.019316,0.417355,0.048687,0.042748,-0.063295,0.107844,0.126432,661.8925,0.000500,0.000500,0,0,-583.073,-589.155,0.00514,0.00361,2.6601,2.9185,128,2000,7,62065.69,16808.42,45257.27,78874.10,n=7 too small for exact 90% level; using max score (conservative)
Pi Mensae,core,ok,,bls_ephemeris.json,27.214921492149216,1339.6029604950604,2.4000000000000004,258,True,3795.19,2.2187,0.0000,0.05615,,,,,300,300,300,64,3806.63593,21.04545,57.08502,2.21858,0.03353,0.01613,0.05626,0.00024,0.00122,0.00009,0.00009,0.21599,3816.55333,88.89162,97.49921,2.20787,0.03188,0.02591,0.05652,0.00073,0.00127,0.00071,0.00070,0.27424,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.3115,202.76,1504,27.232001,0.011467,0.013376,1339.559641,0.040250,0.034286,0.063330,0.001374,0.001688,52.699938,3.350061,3.860012,89.063291,0.082051,0.082516,0.862036,0.021120,0.018111,3834.352317,83.468105,93.325538,2.454689,0.085637,0.082628,0.216605,0.158454,0.266025,0.001478,0.166722,0.198095,113.6262,0.000500,0.000500,1.59556e-98,6.66259e-180,-97.797,-179.176,0.00367,0.00440,1.6868,1.4261,50,2000,1,3827.27,,,,need >=4 epochs for a calibrated interval
V1828 Aql,core,ok,,bls_ephemeris.json,0.6622662266226622,2770.3936436382623,0.48,4000,True,44468.13,0.3711,0.0010,0.15172,,,,,300,300,300,29,44468.12881,0.00367,0.00503,0.37105,0.00000,0.00000,0.15172,0.00000,0.00012,0.00100,0.00000,0.00000,44468.12883,0.00281,0.00431,0.37105,0.00000,0.00000,0.15172,0.00000,0.00270,0.00100,0.00000,0.00000,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.2722,364.79,832,0.662245,0.000000,0.000000,2770.397519,0.000044,0.000041,0.549930,0.122181,0.211549,35.488824,1.233744,2.092322,88.837075,0.347006,0.369653,0.717940,0.240831,0.268005,234716.253769,4855.597368,4724.783963,0.196199,0.003064,0.005344,1.560799,0.303810,0.223984,-0.660331,0.184497,0.295700,61.9319,0.000500,0.000500,4.51066e-58,6.76724e-35,-57.346,-34.170,0.00378,0.00362,2.7826,4.5316,29,2000,18,216674.92,133956.81,82718.11,350631.73,
TOI-5788 b,benchmark,ok,,NASA Exoplanet Archive,6.340758,2611.7425000001676,3.341,4000,True,131.05,3.1703,0.7011,0.01144,0.01001,0.98657,True,"q1, q2 pinned within 0.01 of a prior bound (q1=0.0100, q2=0.9866 -> u1=0.197, u2=-0.097). LSQ/bootstrap likely fitting an unphysical LD shape to compensate for a model mismatch (e.g. grazing/blended/EB geometry); the lsq_boot_* interval for this target may be an artificially tight numerical artifact, not genuine precision -- see results/module3_convergence_diagnosis.md.",300,300,300,100,131.05750,13.17669,81.83004,3.17032,0.20286,0.12775,0.01144,0.00078,0.00339,0.70115,0.12282,0.04868,131.06490,26.06840,98.09565,3.17032,0.13784,0.22063,0.01144,0.00117,0.00362,0.70115,0.11044,0.05863,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.1688,346.35,864,6.330768,0.086105,0.085346,2611.740992,0.090011,0.094812,0.485534,0.331778,0.296266,11.830661,4.766482,12.435143,87.342587,5.780844,1.926897,0.657116,0.428665,0.553257,107078.118308,98883.625136,263654.214549,4.695141,2.349573,2.607651,0.588124,0.407439,0.651852,0.013570,0.492856,0.432984,,,,,,,,,,nan,nan,,,0,,,,,need >=4 epochs for a calibrated interval
TOI-1860 b,benchmark,ok,,NASA Exoplanet Archive,1.0662107,1683.6041000001132,1.142,4000,True,95.02,1.1270,0.1454,0.00954,0.05458,0.05353,False,,300,300,300,9,93.63858,36.70626,1.38164,1.12702,0.02425,0.01669,0.00922,0.00193,0.00032,0.14538,0.14129,0.09531,95.01198,33.34211,0.00824,1.12702,0.02843,0.01374,0.00935,0.00196,0.00018,0.14538,0.12414,0.06437,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.3153,176.43,1728,1.066191,0.000052,0.000054,1683.604274,0.005078,0.005209,0.009215,0.001375,0.001433,5.604768,1.960870,1.442432,85.201186,8.378658,3.401934,0.512471,0.339221,0.339579,92.683452,22.204815,21.847929,1.234404,0.186642,0.180967,0.520314,0.376352,0.592684,0.030262,0.390234,0.419074,7.9946,0.000500,0.000500,1.73109e-07,5.86207e-08,-6.762,-7.232,0.00570,0.00485,2.3892,2.2525,9,2000,87,150.85,274.18,-123.33,425.04,
TOI-2193 A b,benchmark,ok,,NASA Exoplanet Archive,2.1225735,2052.421219999902,1.64688,4000,True,783.28,1.2182,0.0014,0.02040,0.89591,0.98580,True,"q2 pinned within 0.01 of a prior bound (q1=0.8959, q2=0.9858 -> u1=1.866, u2=-0.920). LSQ/bootstrap likely fitting an unphysical LD shape to compensate for a model mismatch (e.g. grazing/blended/EB geometry); the lsq_boot_* interval for this target may be an artificially tight numerical artifact, not genuine precision -- see results/module3_convergence_diagnosis.md.",300,300,300,42,783.27582,132.03955,111.64968,1.21820,0.17311,0.01937,0.02040,0.00038,0.00442,0.00142,0.00000,0.04329,783.27582,130.00306,79.68296,1.21820,0.14160,0.02598,0.02040,0.00062,0.00350,0.00142,0.00000,0.00393,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.1350,431.02,704,2.120475,0.014894,0.022477,2052.425271,0.047926,0.044098,0.018531,0.012346,0.014512,8.294044,4.635587,6.804394,86.624016,9.472242,2.598621,0.533947,0.353573,0.375139,295.044620,258.116745,823.732336,1.433243,0.507397,1.735364,0.709425,0.471170,0.607021,-0.112076,0.383154,0.474885,-1.1186,0.952024,0.950525,0.952024,0.950525,-0.021,-0.022,0.00682,0.00560,2.7824,2.7688,42,2000,18,0.00,1376.45,-1376.45,1376.45,
TOI-2431 b,benchmark,ok,,NASA Exoplanet Archive,0.22419578,3258.868549999781,0.292,4000,True,38.47,0.2904,0.8567,0.00628,0.01074,0.94146,True,"q1 pinned within 0.01 of a prior bound (q1=0.0107, q2=0.9415 -> u1=0.195, u2=-0.092). LSQ/bootstrap likely fitting an unphysical LD shape to compensate for a model mismatch (e.g. grazing/blended/EB geometry); the lsq_boot_* interval for this target may be an artificially tight numerical artifact, not genuine precision -- see results/module3_convergence_diagnosis.md.",300,300,300,5,38.47242,35.62257,0.00023,0.29038,0.06150,0.00523,0.00628,0.00453,0.00000,0.85672,0.17070,0.00207,38.47242,34.76929,0.00004,0.29038,0.04212,0.00892,0.00628,0.00434,0.00000,0.85672,0.14634,0.00000,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.1833,347.03,864,0.224430,0.003262,0.002866,3258.868745,0.008386,0.008058,0.005356,0.002985,0.005363,3.462244,1.190250,3.484180,83.568491,13.835690,4.842892,0.485097,0.339206,0.356358,30.860553,24.209471,83.720024,0.390068,0.203358,0.229892,0.627021,0.418045,0.642072,-0.004259,0.461349,0.423046,-2.4347,0.990005,0.987506,0.990005,0.987506,-0.004,-0.005,0.00278,0.00177,2.0662,2.0216,5,2000,47,-328.63,1671.38,-2000.01,1342.75,
HD 108236 c,benchmark,ok,,NASA Exoplanet Archive,6.203449,1770.9058599998243,2.86,4000,True,26.10,2.9896,0.8951,0.00629,0.98522,0.53054,True,"q1 pinned within 0.01 of a prior bound (q1=0.9852, q2=0.5305 -> u1=1.053, u2=-0.061). LSQ/bootstrap likely fitting an unphysical LD shape to compensate for a model mismatch (e.g. grazing/blended/EB geometry); the lsq_boot_* interval for this target may be an artificially tight numerical artifact, not genuine precision -- see results/module3_convergence_diagnosis.md.",300,300,300,114,40.87792,32.33746,77.21065,2.98871,1.15551,0.71936,0.00790,0.00400,0.00700,0.90161,0.00656,0.07539,46.32224,38.71287,90.91237,2.98892,1.13142,0.60145,0.00881,0.00488,0.00700,0.90210,0.00709,0.07069,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.1754,398.52,768,6.175958,0.064729,0.119072,1770.896987,0.077118,0.087965,0.557225,0.353637,0.234025,13.308452,5.096245,14.577955,87.601988,4.824688,1.787337,0.691147,0.461408,0.529353,132163.204010,116515.535544,291265.044013,4.229979,2.041241,2.043711,0.616415,0.450269,0.577347,-0.025861,0.425318,0.433219,,,,,,,,,,nan,nan,,,0,,,,,need >=4 epochs for a calibrated interval
TOI-2411 b,benchmark,ok,,NASA Exoplanet Archive,0.7826942,2116.0139000001363,1.0403706,4000,True,0.43,2.2513,0.9707,0.00151,0.98530,0.89392,True,"q1 pinned within 0.01 of a prior bound (q1=0.9853, q2=0.8939 -> u1=1.775, u2=-0.782). LSQ/bootstrap likely fitting an unphysical LD shape to compensate for a model mismatch (e.g. grazing/blended/EB geometry); the lsq_boot_* interval for this target may be an artificially tight numerical artifact, not genuine precision -- see results/module3_convergence_diagnosis.md.",300,300,300,10,115.56396,114.87016,692.02928,1.53642,0.71192,0.72190,0.01585,0.01444,0.02871,0.96486,0.17375,0.00912,110.03507,109.00402,550.72873,1.48138,0.68247,0.66503,0.02004,0.01860,0.02379,0.96304,0.16893,0.01148,"MCMC posterior below is SECONDARY/exploratory, NOT the primary uncertainty. 4 convergence attempts (emcee x3 parametrizations, dynesty nested sampling) all failed to converge -- points to a real transit-geometry degeneracy (a_over_rs/b, then rp_over_rs/b under dynesty), not a fixable sampler issue. See results/module3_convergence_diagnosis.md. Primary uncertainty is lsq_boot_* (parametric residual bootstrap on the LSQ fit).",False,0.1757,368.93,832,0.782516,0.011258,0.010474,2116.015199,0.029719,0.029916,0.007824,0.004639,0.005559,3.221157,1.074845,2.837655,82.657253,14.462531,5.378495,0.536173,0.372917,0.308241,64.290935,52.841255,116.865719,1.493655,0.757512,0.792847,0.662665,0.481383,0.650211,-0.045594,0.449270,0.482617,0.0000,0.499250,0.489255,0.49925,0.489255,-0.302,-0.310,0.00276,0.00314,2.3646,2.3422,10,2000,11,0.00,0.00,0.00,0.00,
